Index,Title,Type,Organization,Description,Entry_ID,Collection,Image_url
160,Hurricane Beulah,Photograph,Museum of South Texas History,"Views in and around Edinburg in the aftermath of Hurricane Beulah in 1967.  The system made landfall in Texas around late September and caused major flooding, wind, and tornado damage.",1985.046.001.080,Hurricane Beulah,https://s3.us-west-2.amazonaws.com/app-catalogit-media-public/accounts/4837/photo/ea9d5f10-66c3-11eb-a877-6b8566f86a20-stuiXyq.lg_sq@2x.JPG
161,Hurricane Beulah,Photograph,Museum of South Texas History,"Views in and around Edinburg in the aftermath of Hurricane Beulah in 1967.  The system made landfall in Texas around late September and caused major flooding, wind, and tornado damage.",1985.046.001.081,Hurricane Beulah,https://s3.us-west-2.amazonaws.com/app-catalogit-media-public/accounts/4837/photo/66084c70-66d1-11eb-a877-6b8566f86a20-stuiWk7.lg_sq@2x.JPG
162,Hurricane Beulah,Photograph,Museum of South Texas History,"Views in and around Edinburg in the aftermath of Hurricane Beulah in 1967.  The system made landfall in Texas around late September and caused major flooding, wind, and tornado damage.",1985.046.001.082,Hurricane Beulah,https://s3.us-west-2.amazonaws.com/app-catalogit-media-public/accounts/4837/photo/f5073f30-66c7-11eb-a877-6b8566f86a20-stuiYH2.lg_sq@2x.JPG
163,Hurricane Beulah,Photograph,Museum of South Texas History,"Views in and around Edinburg in the aftermath of Hurricane Beulah in 1967.  The system made landfall in Texas around late September and caused major flooding, wind, and tornado damage.",1985.046.001.083,Hurricane Beulah,https://s3.us-west-2.amazonaws.com/app-catalogit-media-public/accounts/4837/photo/e54c0930-66c8-11eb-a877-6b8566f86a20-stuiXas.lg_sq@2x.JPG
164,Hurricane Beulah,Photograph,Museum of South Texas History,"Views in and around Edinburg in the aftermath of Hurricane Beulah in 1967.  The system made landfall in Texas around late September and caused major flooding, wind, and tornado damage.",1985.046.001.084,Hurricane Beulah,https://s3.us-west-2.amazonaws.com/app-catalogit-media-public/accounts/4837/photo/b6ef72a0-6698-11eb-a877-6b8566f86a20-stuiXqk.lg_sq@2x.JPG
165,Hurricane Beulah,Photograph,Museum of South Texas History,"Views in and around Edinburg in the aftermath of Hurricane Beulah in 1967.  The system made landfall in Texas around late September and caused major flooding, wind, and tornado damage.",1985.046.001.085,Hurricane Beulah,https://s3.us-west-2.amazonaws.com/app-catalogit-media-public/accounts/4837/photo/a0084040-66d3-11eb-a877-6b8566f86a20-stuiXTT.lg_sq@2x.JPG
166,Hurricane Beulah,Photograph,Museum of South Texas History,"Views in and around Edinburg in the aftermath of Hurricane Beulah in 1967.  The system made landfall in Texas around late September and caused major flooding, wind, and tornado damage.",1985.046.001.086,Hurricane Beulah,https://s3.us-west-2.amazonaws.com/app-catalogit-media-public/accounts/4837/photo/a3542730-66e4-11eb-b926-21c8fb58c7e7-stuiW4Z.lg_sq@2x.jpg
167,Hurricane Beulah,Photograph,Museum of South Texas History,"Views in and around Edinburg in the aftermath of Hurricane Beulah in 1967.  The system made landfall in Texas around late September and caused major flooding, wind, and tornado damage.",1985.046.001.087,Hurricane Beulah,https://s3.us-west-2.amazonaws.com/app-catalogit-media-public/accounts/4837/photo/a4af4a60-66e4-11eb-b926-21c8fb58c7e7-stuiWNf.lg_sq@2x.jpg
168,Hurricane Beulah,Photograph,Museum of South Texas History,"Views in and around Edinburg in the aftermath of Hurricane Beulah in 1967.  The system made landfall in Texas around late September and caused major flooding, wind, and tornado damage.",1985.046.001.088,Hurricane Beulah,https://s3.us-west-2.amazonaws.com/app-catalogit-media-public/accounts/4837/photo/a6076050-66e4-11eb-b926-21c8fb58c7e7-stuiVsg.lg_sq@2x.jpg
169,Hurricane Beulah,Photograph,Museum of South Texas History,"Views in and around Edinburg in the aftermath of Hurricane Beulah in 1967.  The system made landfall in Texas around late September and caused major flooding, wind, and tornado damage.",1985.046.001.089,Hurricane Beulah,https://s3.us-west-2.amazonaws.com/app-catalogit-media-public/accounts/4837/photo/a7207170-66e4-11eb-b926-21c8fb58c7e7-stuiVaq.lg_sq@2x.jpg
170,Hurricane Beulah,Photograph,Museum of South Texas History,"Views in and around Edinburg in the aftermath of Hurricane Beulah in 1967.  The system made landfall in Texas around late September and caused major flooding, wind, and tornado damage.",1985.046.001.090,Hurricane Beulah,https://s3.us-west-2.amazonaws.com/app-catalogit-media-public/accounts/4837/photo/a8401240-66e4-11eb-b926-21c8fb58c7e7-stuiVRR.lg_sq@2x.jpg
171,Hurricane Beulah,Photograph,Museum of South Texas History,"Views in and around Edinburg in the aftermath of Hurricane Beulah in 1967.  The system made landfall in Texas around late September and caused major flooding, wind, and tornado damage.",1985.046.001.091,Hurricane Beulah,https://s3.us-west-2.amazonaws.com/app-catalogit-media-public/accounts/4837/photo/a99ce320-66e4-11eb-b926-21c8fb58c7e7-stuiVvV.lg_sq@2x.jpg
172,Hurricane Beulah,Photograph,Museum of South Texas History,"Views in and around Edinburg in the aftermath of Hurricane Beulah in 1967.  The system made landfall in Texas around late September and caused major flooding, wind, and tornado damage.",1985.046.001.092,Hurricane Beulah,https://s3.us-west-2.amazonaws.com/app-catalogit-media-public/accounts/4837/photo/aaf19db0-66e4-11eb-b926-21c8fb58c7e7-stuiUgM.lg_sq@2x.jpg
173,Hurricane Beulah,Photograph,Museum of South Texas History,"Views in and around Edinburg in the aftermath of Hurricane Beulah in 1967.  The system made landfall in Texas around late September and caused major flooding, wind, and tornado damage.

Kwik Chek Grocery at 1703 E. Harriman Blvd.",1985.046.001.093,Hurricane Beulah,https://s3.us-west-2.amazonaws.com/app-catalogit-media-public/accounts/4837/photo/acc80b60-66e4-11eb-b926-21c8fb58c7e7-stuiUYK.lg_sq@2x.jpg
174,Hurricane Beulah,Photograph,Museum of South Texas History,Views of McBride Oil Refining Company after Hurricane Beulah.,2001.109.007b,Hurricane Beulah,https://s3.us-west-2.amazonaws.com/app-catalogit-media-public/accounts/4837/photo/28045000-66e4-11eb-b926-21c8fb58c7e7-stuiTry.lg_sq@2x.jpg
175,Hurricane Beulah,Photograph,Museum of South Texas History,Views of McBride Oil Refining Company after Hurricane Beulah.,2001.109.007e,Hurricane Beulah,https://s3.us-west-2.amazonaws.com/app-catalogit-media-public/accounts/4837/photo/2956e7b0-66e4-11eb-b926-21c8fb58c7e7-stuiUFY.lg_sq@2x.jpg
176,Hurricane Beulah,Photograph,Museum of South Texas History,Views of McBride Oil Refining Company after Hurricane Beulah.,2001.109.007f,Hurricane Beulah,https://s3.us-west-2.amazonaws.com/app-catalogit-media-public/accounts/4837/photo/2a94e5f0-66e4-11eb-b926-21c8fb58c7e7-stuiTNz.lg_sq@2x.jpg
177,Hurricane Beulah,Photograph,Museum of South Texas History,Views of McBride Oil Refining Company after Hurricane Beulah.,2001.109.007g,Hurricane Beulah,https://s3.us-west-2.amazonaws.com/app-catalogit-media-public/accounts/4837/photo/c3f51e90-66e4-11eb-b926-21c8fb58c7e7-stuiTxa.lg_sq@2x.jpg
178,Hurricane Beulah,Photograph,Museum of South Texas History,Views of McBride Oil Refining Company after Hurricane Beulah.,2001.109.007k,Hurricane Beulah,https://s3.us-west-2.amazonaws.com/app-catalogit-media-public/accounts/4837/photo/2c9d6020-66e4-11eb-b926-21c8fb58c7e7-stuiSgm.lg_sq@2x.jpg
179,Hurricane Beulah,Photograph,Museum of South Texas History,Views of McBride Oil Refining Company after Hurricane Beulah.,2001.109.007l,Hurricane Beulah,https://s3.us-west-2.amazonaws.com/app-catalogit-media-public/accounts/4837/photo/c5643ef0-66e4-11eb-b926-21c8fb58c7e7-stuiT2r.lg_sq@2x.jpg
180,Hurricane Beulah,Photograph,Museum of South Texas History,Views of McBride Oil Refining Company after Hurricane Beulah.,2001.109.007m,Hurricane Beulah,https://s3.us-west-2.amazonaws.com/app-catalogit-media-public/accounts/4837/photo/c68bf610-66e4-11eb-b926-21c8fb58c7e7-so3rdkm.tn@2x.jpg
181,Hurricane Beulah,Photograph,Museum of South Texas History,Views of McBride Oil Refining Company after Hurricane Beulah.,2001.109.007n,Hurricane Beulah,https://s3.us-west-2.amazonaws.com/app-catalogit-media-public/accounts/4837/photo/2dde92b0-66e4-11eb-b926-21c8fb58c7e7-so3l3JY.tn@2x.jpg
182,Hurricane Beulah,Photograph,Museum of South Texas History,Views of McBride Oil Refining Company after Hurricane Beulah.,2001.109.007o,Hurricane Beulah,https://s3.us-west-2.amazonaws.com/app-catalogit-media-public/accounts/4837/photo/2ef9c6b0-66e4-11eb-b926-21c8fb58c7e7-so3lbkr.tn@2x.jpg
183,Hurricane damage,Photograph,Museum of South Texas History,"Hurricane damage, maybe in Raymondville",2017.025.029,Hurricane Beulah,https://s3.us-west-2.amazonaws.com/app-catalogit-media-public/accounts/4837/photo/338a4090-66be-11eb-a877-6b8566f86a20-stujeMn.lg_sq@2x.JPG
184,Hurricane map,Photograph,Museum of South Texas History,"3 hurricanes shown on map (Beulah, Chloe and Doria)",2017.025.077,Hurricane Beulah,https://s3.us-west-2.amazonaws.com/app-catalogit-media-public/accounts/4837/photo/70bf1e70-66b1-11eb-a877-6b8566f86a20-stujZpz.lg_sq@2x.JPG
185,Hurricane map,Photograph,Museum of South Texas History,"3 hurricanes shown on map (Beulah, Chloe and Doria)",2017.025.078,Hurricane Beulah,https://s3.us-west-2.amazonaws.com/app-catalogit-media-public/accounts/4837/photo/e8d37ab0-66a6-11eb-a877-6b8566f86a20-stujZUr.lg_sq@2x.JPG
186,Hurricane tracking,Photograph,Museum of South Texas History,Tracking the eye of Beulah,2017.025.080,Hurricane Beulah,https://s3.us-west-2.amazonaws.com/app-catalogit-media-public/accounts/4837/photo/3c0f08d0-66c9-11eb-a877-6b8566f86a20-stujZEX.lg_sq@2x.JPG
187,Hurricane tracking,Photograph,Museum of South Texas History,Tracking the eye of Beulah,2017.025.081,Hurricane Beulah,https://s3.us-west-2.amazonaws.com/app-catalogit-media-public/accounts/4837/photo/374baf00-66b6-11eb-a877-6b8566f86a20-stujYkg.lg_sq@2x.JPG
188,Hurricane victims,Photograph,Museum of South Texas History,Policemen and National Guard rescue team giving a hand to some hurricane victims on a motor boat.,1978.048.044,Hurricane Beulah,https://s3.us-west-2.amazonaws.com/app-catalogit-media-public/accounts/4837/photo/3b7382c0-66e2-11eb-b926-21c8fb58c7e7-so3f5Gr.tn@2x.jpg
189,Hwy 83,Photograph,Museum of South Texas History,"Highway sign, junction to 83 near Pharr",2017.025.134,Hurricane Beulah,https://s3.us-west-2.amazonaws.com/app-catalogit-media-public/accounts/4837/photo/b2ef15e0-66e1-11eb-b926-21c8fb58c7e7-stujJiu.lg_sq@2x.jpg
190,International bridge,Photograph,Museum of South Texas History,"International bridge between Hidalgo, TX and Reynosa, Mexico",2013.001.037,Hurricane Beulah,https://s3.us-west-2.amazonaws.com/app-catalogit-media-public/accounts/4837/photo/ad483de0-66a2-11eb-a877-6b8566f86a20-stujxKq.lg_sq@2x.JPG
191,International bridge,Photograph,Museum of South Texas History,International bridge between Hidalgo and Reynosa,2013.001.038,Hurricane Beulah,https://s3.us-west-2.amazonaws.com/app-catalogit-media-public/accounts/4837/photo/e281be40-66cb-11eb-a877-6b8566f86a20-stujwt5.lg_sq@2x.JPG
192,International bridge,Photograph,Museum of South Texas History,International bridge at Rio Grande City,2013.001.049,Hurricane Beulah,https://s3.us-west-2.amazonaws.com/app-catalogit-media-public/accounts/4837/photo/c86cbc70-66c2-11eb-a877-6b8566f86a20-stuisii.lg_sq@2x.JPG
193,La Grulla,Photograph,Museum of South Texas History,"La Grulla, TX",2013.001.047,Hurricane Beulah,https://s3.us-west-2.amazonaws.com/app-catalogit-media-public/accounts/4837/photo/d7b04180-66ad-11eb-a877-6b8566f86a20-stuitdE.lg_sq@2x.JPG
194,LaVista Dr,Photograph,Museum of South Texas History,"LaVista Dr, McAllen",2013.001.011,Hurricane Beulah,https://s3.us-west-2.amazonaws.com/app-catalogit-media-public/accounts/4837/photo/f13ea7d0-66ae-11eb-a877-6b8566f86a20-stujEGF.lg_sq@2x.JPG
195,Levy breach,Photograph,Museum of South Texas History,Levy breach to drain floodwater,2017.025.102,Hurricane Beulah,https://s3.us-west-2.amazonaws.com/app-catalogit-media-public/accounts/4837/photo/6db61340-66a8-11eb-a877-6b8566f86a20-stujSlT.lg_sq@2x.JPG
196,Lloyd Bentsen home,Photograph,Museum of South Texas History,"Lloyd Bentsen home, South Bentsen Rd",2013.001.020,Hurricane Beulah,https://s3.us-west-2.amazonaws.com/app-catalogit-media-public/accounts/4837/photo/17d1b300-66d8-11eb-a877-6b8566f86a20-stujCwp.lg_sq@2x.JPG
197,Los Ebanos,Photograph,Museum of South Texas History,"Los Ebanos, TX",2013.001.045,Hurricane Beulah,https://s3.us-west-2.amazonaws.com/app-catalogit-media-public/accounts/4837/photo/e02decc0-66d7-11eb-a877-6b8566f86a20-stuiu5E.lg_sq@2x.JPG
198,Los Ebanos,Photograph,Museum of South Texas History,"Los Ebanos, TX",2013.001.046,Hurricane Beulah,https://s3.us-west-2.amazonaws.com/app-catalogit-media-public/accounts/4837/photo/3cfb3630-66cc-11eb-a877-6b8566f86a20-stuitsk.lg_sq@2x.JPG
199,Los Ebanos,Photograph,Museum of South Texas History,"Port of entry, Los Ebanos",2013.001.048,Hurricane Beulah,https://s3.us-west-2.amazonaws.com/app-catalogit-media-public/accounts/4837/photo/4eca3830-66a3-11eb-a877-6b8566f86a20-stuitV3.lg_sq@2x.JPG
200,Main St.,Photograph,Museum of South Texas History,South Main St in McAllen,2013.001.027,Hurricane Beulah,https://s3.us-west-2.amazonaws.com/app-catalogit-media-public/accounts/4837/photo/5e841300-66c0-11eb-a877-6b8566f86a20-stujyUk.lg_sq@2x.JPG
201,Map of Beulah,Photograph,Museum of South Texas History,Map of area affected by Beulah,2017.025.126,Hurricane Beulah,https://s3.us-west-2.amazonaws.com/app-catalogit-media-public/accounts/4837/photo/845b08b0-66be-11eb-a877-6b8566f86a20-stujMBA.lg_sq@2x.JPG
202,Map of Beulah,Photograph,Museum of South Texas History,Map of area affected by Beulah,2017.025.127,Hurricane Beulah,https://s3.us-west-2.amazonaws.com/app-catalogit-media-public/accounts/4837/photo/8a1394c0-66cd-11eb-a877-6b8566f86a20-stujLkm.lg_sq@2x.JPG
203,Marte Gomez,Photograph,Museum of South Texas History,Marte Gomez Dam,2013.001.056,Hurricane Beulah,https://s3.us-west-2.amazonaws.com/app-catalogit-media-public/accounts/4837/photo/6c3c6cc0-66c2-11eb-a877-6b8566f86a20-stuiqjK.lg_sq@2x.JPG
204,Marte Gomez Dam,Photograph,Museum of South Texas History,Marte Gomez Dam in Mexico with horseshow shaped spillway,2017.025.103,Hurricane Beulah,https://s3.us-west-2.amazonaws.com/app-catalogit-media-public/accounts/4837/photo/6ffc7670-66cc-11eb-a877-6b8566f86a20-stujS6N.lg_sq@2x.JPG
205,Marte Gomez Dam,Photograph,Museum of South Texas History,"Marte Gomez Dam, Mexico",2013.001.066,Hurricane Beulah,https://s3.us-west-2.amazonaws.com/app-catalogit-media-public/accounts/4837/photo/b325f8a0-66c6-11eb-a877-6b8566f86a20-stuirBb.lg_sq@2x.JPG
206,McAllen Airport,Photograph,Museum of South Texas History,View from McAllen Airport looking west,2017.025.060,Hurricane Beulah,https://s3.us-west-2.amazonaws.com/app-catalogit-media-public/accounts/4837/photo/d70ae020-66b5-11eb-a877-6b8566f86a20-stuj6Ic.lg_sq@2x.JPG
207,McAllen Airport,Photograph,Museum of South Texas History,Flooding of the terminal at McAllen Airport,2017.025.061,Hurricane Beulah,https://s3.us-west-2.amazonaws.com/app-catalogit-media-public/accounts/4837/photo/6059d080-66d8-11eb-a877-6b8566f86a20-stuj5tK.lg_sq@2x.JPG
208,McAllen Airport,Photograph,Museum of South Texas History,McAllen Airport looking south,2017.025.104,Hurricane Beulah,https://s3.us-west-2.amazonaws.com/app-catalogit-media-public/accounts/4837/photo/e105fe40-66cc-11eb-a877-6b8566f86a20-stujSMJ.lg_sq@2x.JPG
209,McAllen Legion Gun Club,Photograph,Museum of South Texas History,Skeet range at McAllen Legion Gun Club,2013.001.017,Hurricane Beulah,https://s3.us-west-2.amazonaws.com/app-catalogit-media-public/accounts/4837/photo/e13681c0-6698-11eb-a877-6b8566f86a20-stujzOa.lg_sq@2x.JPG
210,McAllen Legion Gun Club,Photograph,Museum of South Texas History,"McAllen Legion Gun Club, South Ware Rd.",2017.001.019,Hurricane Beulah,https://s3.us-west-2.amazonaws.com/app-catalogit-media-public/accounts/4837/photo/6bc43910-66ce-11eb-a877-6b8566f86a20-stujCOl.lg_sq@2x.JPG
211,McAllen Legion Gun Club,Photograph,Museum of South Texas History,"McAllen Legion Gun Club, South Ware Rd.",2013.001.019,Hurricane Beulah,https://s3.us-west-2.amazonaws.com/app-catalogit-media-public/accounts/4837/photo/8d99bcd0-66a2-11eb-a877-6b8566f86a20-stujBg9.lg_sq@2x.JPG
212,McAllen pool,Photograph,Museum of South Texas History,McAllen Municipal Swimming Pool,2013.001.004,Hurricane Beulah,https://s3.us-west-2.amazonaws.com/app-catalogit-media-public/accounts/4837/photo/286d6720-6699-11eb-a877-6b8566f86a20-stujGZ0.lg_sq@2x.JPG
213,McAllen pool,Photograph,Museum of South Texas History,"McAllen Municipal Swimming Pool, 19th St.",2013.001.005,Hurricane Beulah,https://s3.us-west-2.amazonaws.com/app-catalogit-media-public/accounts/4837/photo/d4042b70-6697-11eb-a877-6b8566f86a20-stujGIZ.lg_sq@2x.JPG
214,McAllen pool,Photograph,Museum of South Texas History,"McAllen Municipal Swimming Pool, 19th St.",2013.001.006,Hurricane Beulah,https://s3.us-west-2.amazonaws.com/app-catalogit-media-public/accounts/4837/photo/0a67ff00-6695-11eb-a877-6b8566f86a20-stujF8F.lg_sq@2x.JPG
215,McAllen pump,Photograph,Museum of South Texas History,McAllen pump,2013.001.040,Hurricane Beulah,https://s3.us-west-2.amazonaws.com/app-catalogit-media-public/accounts/4837/photo/12f7c3c0-66a0-11eb-a877-6b8566f86a20-stujvlR.lg_sq@2x.JPG
216,McCreery Aviation,Photograph,Museum of South Texas History,"McCreery Aviation Company, South 19th St., McAllen",2013.001.055,Hurricane Beulah,https://s3.us-west-2.amazonaws.com/app-catalogit-media-public/accounts/4837/photo/5420b6d0-66a1-11eb-a877-6b8566f86a20-stuirQA.lg_sq@2x.JPG
217,McKee Companies Real Estate,Photograph,Museum of South Texas History,McKee Companies Real Estate office after Hurricane Beulah,2017.025.023,Hurricane Beulah,https://s3.us-west-2.amazonaws.com/app-catalogit-media-public/accounts/4837/photo/a32ba250-66bd-11eb-a877-6b8566f86a20-stujfy7.lg_sq@2x.JPG
218,Mid Valley,Photograph,Museum of South Texas History,Mid Valley after the hurricane,2017.025.024,Hurricane Beulah,https://s3.us-west-2.amazonaws.com/app-catalogit-media-public/accounts/4837/photo/b5d076d0-66d4-11eb-a877-6b8566f86a20-stuje41.lg_sq@2x.JPG
219,Mile 11N,Photograph,Museum of South Texas History,Damage to house at 11N and 4.5 after the hurricane,2017.025.025,Hurricane Beulah,https://s3.us-west-2.amazonaws.com/app-catalogit-media-public/accounts/4837/photo/dc7c5210-66b9-11eb-a877-6b8566f86a20-stujcEI.lg_sq@2x.JPG
220,Mile 2 levy,Photograph,Museum of South Texas History,Mile 2 levy after peak flooding,2017.025.108,Hurricane Beulah,https://s3.us-west-2.amazonaws.com/app-catalogit-media-public/accounts/4837/photo/77165a50-66a6-11eb-a877-6b8566f86a20-stujRxj.lg_sq@2x.JPG
221,Mile 2 levy,Photograph,Museum of South Texas History,Dignitaries at Mile 2 levy,2017.025.109,Hurricane Beulah,https://s3.us-west-2.amazonaws.com/app-catalogit-media-public/accounts/4837/photo/40640080-66c8-11eb-a877-6b8566f86a20-stujQg7.lg_sq@2x.JPG
222,Mile 2 levy,Photograph,Museum of South Texas History,Mile 2 levy house with ruts in yard,2017.025.110,Hurricane Beulah,https://s3.us-west-2.amazonaws.com/app-catalogit-media-public/accounts/4837/photo/70411800-66b5-11eb-a877-6b8566f86a20-stujQXZ.lg_sq@2x.JPG
223,Mile 2 levy,Photograph,Museum of South Texas History,House at Mile 2 levy with ruts in yard,2017.025.111,Hurricane Beulah,https://s3.us-west-2.amazonaws.com/app-catalogit-media-public/accounts/4837/photo/825a10f0-66b0-11eb-a877-6b8566f86a20-stujQHp.lg_sq@2x.JPG
224,Mile 2 levy,Photograph,Museum of South Texas History,Wayne Swanson at Mile 2 levy,2017.025.112,Hurricane Beulah,https://s3.us-west-2.amazonaws.com/app-catalogit-media-public/accounts/4837/photo/4d36cb50-66c1-11eb-a877-6b8566f86a20-stujPpz.lg_sq@2x.JPG
225,Mile 2 levy,Photograph,Museum of South Texas History,Mile 2 levy sandbag crew,2017.025.113,Hurricane Beulah,https://s3.us-west-2.amazonaws.com/app-catalogit-media-public/accounts/4837/photo/ae6e05f0-66b2-11eb-a877-6b8566f86a20-stujP8x.lg_sq@2x.JPG
226,Mile 2 levy,Photograph,Museum of South Texas History,Mile 2 levy sandbag crew,2017.025.114,Hurricane Beulah,https://s3.us-west-2.amazonaws.com/app-catalogit-media-public/accounts/4837/photo/628c9960-66b4-11eb-a877-6b8566f86a20-stujPTU.lg_sq@2x.JPG
227,Mile 2 levy,Photograph,Museum of South Texas History,Mile 2 levy house and yard,2017.025.115,Hurricane Beulah,https://s3.us-west-2.amazonaws.com/app-catalogit-media-public/accounts/4837/photo/685f8b10-669e-11eb-a877-6b8566f86a20-stujPCk.lg_sq@2x.JPG
228,Miller Field,Photograph,Museum of South Texas History,McAllen Miller Field,2013.001.023,Hurricane Beulah,https://s3.us-west-2.amazonaws.com/app-catalogit-media-public/accounts/4837/photo/5f750b10-66b2-11eb-a877-6b8566f86a20-stujzyX.lg_sq@2x.JPG
229,Miller Field,Photograph,Museum of South Texas History,McAllen Miller Field,2013.001.059,Hurricane Beulah,https://s3.us-west-2.amazonaws.com/app-catalogit-media-public/accounts/4837/photo/714de860-669a-11eb-a877-6b8566f86a20-stuiqDw.lg_sq@2x.JPG
230,Miller Field,Photograph,Museum of South Texas History,McAllen Miller Field,2013.001.060,Hurricane Beulah,https://s3.us-west-2.amazonaws.com/app-catalogit-media-public/accounts/4837/photo/319909a0-6697-11eb-a877-6b8566f86a20-stuip5r.lg_sq@2x.JPG
231,Missouri Ave,Photograph,Museum of South Texas History,BF Goodrich and Eunis Ford buildings on Missouri Ave after Hurricane Beulah,2017.025.004,Hurricane Beulah,https://s3.us-west-2.amazonaws.com/app-catalogit-media-public/accounts/4837/photo/4497e700-6698-11eb-a877-6b8566f86a20-stuiPAu.lg_sq@2x.JPG
232,Missouri Ave,Photograph,Museum of South Texas History,Missouri Ave. looking southwest towards the Goodyear building,2017.025.026,Hurricane Beulah,https://s3.us-west-2.amazonaws.com/app-catalogit-media-public/accounts/4837/photo/42133c50-66b6-11eb-a877-6b8566f86a20-stujbm7.lg_sq@2x.JPG
233,North Texas Sheet Metal Store,Photograph,Museum of South Texas History,North Texas Sheet Metal store after the storm,2017.025.027,Hurricane Beulah,https://s3.us-west-2.amazonaws.com/app-catalogit-media-public/accounts/4837/photo/44f61880-66d8-11eb-a877-6b8566f86a20-stujb7f.lg_sq@2x.JPG
234,Nuevo Progreso,Photograph,Museum of South Texas History,Possibly Nuevo Progreso,2017.025.116,Hurricane Beulah,https://s3.us-west-2.amazonaws.com/app-catalogit-media-public/accounts/4837/photo/0b1a5d40-66d0-11eb-a877-6b8566f86a20-stujOjo.lg_sq@2x.JPG
235,Oil spill,Photograph,Museum of South Texas History,Broken oil storage tank spilling oil into flood waters in Mexico,2013.001.041,Hurricane Beulah,https://s3.us-west-2.amazonaws.com/app-catalogit-media-public/accounts/4837/photo/3cb41e10-66ab-11eb-a877-6b8566f86a20-stuiuNl.lg_sq@2x.JPG
236,Old San Perlita Highway,Photograph,Museum of South Texas History,"Old San Perlita Highway NE, Raymondville",2017.025.028,Hurricane Beulah,https://s3.us-west-2.amazonaws.com/app-catalogit-media-public/accounts/4837/photo/defd6860-669d-11eb-a877-6b8566f86a20-stujbRR.lg_sq@2x.JPG
237,Oral History,Oral History,Museum of South Texas History,Oral history with Kevin Shropshire about his memories of Hurricane Beulah in 1967.,2018.014.001,Oral History,https://s3.us-west-2.amazonaws.com/app-catalogit-media-public/accounts/4837/photo/441102c0-66a3-11eb-a877-6b8566f86a20-so1mzgL.tn@2x.JPG
